"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","102","22","31","0","0"
"cardano","api-pools","","25","6","1","0","0"
"cardano","api-stake-key-controller","Get Top Delegators","8","3","1","0","0"
"cardano","api-addresses","","8","5","10","0","0"
"cardano","api-epoch","GET: Epoch All List","5","7","1","0","0"
"cardano","api-transactions","","11","11","14","0","1"
"cardano","api-block","","11","3","18","0","0"
"cardano","api-stake-key-controller","Get Data For Stake Registration","7","5","0","0","0"
"cardano","api-delegation","","8","4","8","0","0"
"cardano","api-stake-key-controller","Get Data For Stake De Registration","8","4","0","0","0"
"cardano","api-epoch","GET: Get a epoch detail by its no","0","4","2","0","0"
"cardano","api-epoch","GET: Get block list of epoch by its no","5","8","1","0","0"
"cardano","api-policy_controller","Get holders by policies","0","0","6","0","0"
"cardano","api-contract","","1","5","0","0","0"
"cardano","api-policy_controller","Get a policy detail","0","0","6","0","0"
"cardano","api-epoch","GET: Get current epoch","0","0","1","0","0"
"cardano","api-policy_controller","Get tokens by policies","0","2","5","0","0"
"cardano","api-stake-key-controller","Get active stake, live stake and total stake","0","0","1","0","0"
